date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:33:18	1056/1056	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:18%20GMT	https://rppatelrutvik.wixstudio.io/robots.txt		(from )
15:33:19	1012964/1012964	---MCZ	200	added ('OK')	text/html	etag:W/%226d497edb9932ad9b9bc46cb4d0851206%22	https://rppatelrutvik.wixstudio.io/rplresizer	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer.html	(from )
15:33:20	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:20	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:21	65591/65591	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2024%20Oct%202024%2010:03:20%20GMT	https://polyfill-fastly.io/v3/polyfill.min.js?features=fetch	D:/Python/image%20resizer/rplresizer/polyfill-fastly.io/v3/polyfill.mind82c.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:21	1996/1996	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:21%20GMT	https://rppatelrutvik.wixstudio.io/c	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/c.4.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:22	1998/1998	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:22%20GMT	https://rppatelrutvik.wixstudio.io/t	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/t.5.delayed	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:22	8815/8815	---M-Z	200	added ('OK')	application/javascript	etag:W/%2234a20fb3c07611948c54a6addd2e2c34%22	https://static.parastorage.com/services/form-app/1.1304.0/client-viewer/form-app-text-area.chunk.min.js	D:/Python/image%20resizer/rplresizer/static.parastorage.com/services/form-app/1.1304.0/client-viewer/form-app-text-area.chunk.min.js	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:23	1997/1997	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2024%20Oct%202024%2010:03:23%20GMT	https://rppatelrutvik.wixstudio.io/	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/index.html	(from https://rppatelrutvik.wixstudio.io/rplresizer)
15:33:25	593900/593900	---MCZ	200	added ('OK')	text/html	etag:W/%226eb66a29818c1e15477f0f6d9d741104%22	https://rppatelrutvik.wixstudio.io/rplresizer/about	D:/Python/image%20resizer/rplresizer/rppatelrutvik.wixstudio.io/rplresizer/about.html	(from https://rppatelrutvik.wixstudio.io/rplresizer)
